date,Atlanta,Boston,Chicago,Cleveland,Dallas,KC,Minneapolis,National,NY,Philadelphia,Richmond,SF,SL,Consensus
1972-12,-0.06122449,-0.075,-0.21052632,0.20512821,0.35714286,0.2,0.29032258,0.30232558,0.12,0.11538462,0.48148148,0.26666667,0.08571429,0.14792416
1973-01,0.16666667,-0.32,-0.09756098,0.17142857,0.35,-0.10344828,-0.32142857,0.31034483,0.2,0.31428571,0.55555556,0.16666667,0.1875,0.10580545
1973-02,-0.17391304,-0.11764706,-0.15217391,0.0,-0.03846154,0.23809524,-0.16,0.12244898,-0.04347826,0.46875,0.37931034,-0.08333333,0.31428571,0.05261951
1973-03,-0.02941176,-0.13157895,-0.04761905,0.15625,0.4,-0.08108108,-0.3,-0.1,-0.31034483,0.4516129,0.5,0.12903226,0.02777778,0.06371977
1973-04,-0.22857143,-0.16666667,-0.2745098,-0.28571429,0.05405405,-0.15555556,-0.08823529,-0.36666667,-0.12903226,0.25806452,0.46666667,-0.13793103,0.12903226,-0.04653324
1973-05,0.0,-0.36111111,-0.08163265,-0.26086957,0.28571429,-0.37931034,-0.2972973,0.0,-0.22857143,0.33333333,0.4137931,-0.11764706,-0.03571429,-0.06077609
1973-06,-0.29545455,-0.29032258,-0.47222222,-0.46428571,0.0,-0.06666667,-0.15384615,-0.18181818,-0.25925926,0.26923077,0.13793103,0.0625,-0.22222222,-0.14621813
1973-07,-0.07894737,-0.39393939,-0.4,-0.18518519,0.19047619,-0.41304348,-0.04651163,-0.38636364,-0.47826087,-0.1,0.16666667,-0.61111111,-0.55882353,-0.24238998
1973-08,-0.03125,-0.24324324,-0.0212766,-0.19512195,-0.05882353,-0.39130435,0.03571429,-0.07142857,-0.5483871,0.12903226,0.17241379,-0.39393939,-0.11764706,-0.13865274
1973-09,-0.19047619,-0.18604651,-0.13953488,-0.24242424,0.08571429,-0.30952381,0.04,-0.34210526,-0.44827586,0.10344828,0.24137931,-0.08333333,0.06666667,-0.08853386
1973-10,-0.20408163,-0.08510638,-0.2195122,-0.33333333,0.21428571,-0.34146341,0.28947368,-0.14942529,-0.44,0.10344828,-0.3030303,-0.35897436,-0.4,-0.17319116
1973-11,-0.52173913,-0.44117647,-0.12820513,-0.55172414,-0.18518519,-0.27906977,-0.1875,-0.22857143,-0.54166667,-0.1,-0.05882353,-0.14285714,-0.15625,-0.27451643
1973-12,-0.56410256,-0.34375,-0.07692308,-0.33333333,-0.2962963,-0.35897436,-0.27777778,-0.23684211,-0.55172414,0.0,-0.27586207,-0.32352941,-0.30769231,-0.30916378
1974-01,-0.31111111,-0.38095238,-0.37837838,-0.15,-0.5,-0.05882353,-0.21875,-0.25925926,-0.34615385,0.0,-0.39130435,-0.26315789,-0.30434783,-0.27524828
1974-02,-0.45833333,-0.38461538,-0.425,-0.30555556,-0.27272727,0.075,-0.31578947,-0.19230769,-0.5,-0.17647059,-0.28571429,-0.175,-0.19230769,-0.28470947
1974-03,-0.68292683,-0.11764706,-0.24390244,-0.38709677,0.28571429,-0.10810811,-0.12903226,0.0,-0.06451613,-0.37931034,-0.32258065,-0.31578947,0.03571429,-0.20245679
1974-04,-0.125,-0.11764706,-0.35294118,-0.5,-0.53571429,-0.13157895,0.03225806,-0.11904762,0.33333333,0.02941176,0.19444444,0.02325581,-0.09375,-0.10366067
1974-05,0.07272727,-0.30769231,-0.14285714,-0.20754717,-0.35897436,-0.4,-0.31034483,-0.33333333,0.0,0.06896552,-0.28205128,-0.15384615,-0.07407407,-0.17464121
1974-06,-0.41509434,-0.30555556,-0.21276596,-0.16666667,-0.42857143,-0.225,-0.16216216,-0.32653061,-0.56,0.13793103,-0.43333333,-0.25,-0.32692308,-0.27901179
1974-07,-0.07017544,-0.22222222,-0.19565217,-0.15686275,-0.45714286,-0.27272727,-0.17948718,-0.39215686,-0.52,-0.25,-0.21052632,-0.07692308,-0.08,-0.22430994
1974-08,0.21153846,-0.44444444,-0.4,-0.23255814,0.02857143,-0.4,-0.19444444,-0.34482759,-0.33333333,-0.5,-0.45238095,-0.13043478,-0.125,-0.24770718
1974-09,-0.14705882,-0.34090909,-0.33333333,-0.44680851,-0.21428571,-0.15,-0.10810811,-0.57894737,-0.35483871,0.39393939,-0.25714286,-0.375,-0.11764706,-0.20426607
1974-10,-0.26190476,-0.42857143,-0.63157895,-0.09302326,-0.21052632,-0.13333333,-0.18604651,-0.6,-0.2173913,-0.11111111,-0.79069767,-0.325,-0.15384615,-0.29525257
1974-11,-0.35714286,-0.3030303,-0.58139535,-0.4893617,-0.13513514,-0.18,-0.33333333,-0.50877193,-0.56,-0.48387097,-0.40540541,-0.28571429,-0.60869565,-0.39359042
1974-12,-0.36363636,-0.30769231,-0.54545455,-0.59090909,-0.525,-0.4,-0.24324324,-0.3,-0.53571429,-0.4,-0.41463415,-0.34375,-0.48387097,-0.42949208
1975-01,-0.00990099,-0.34693878,-0.25454545,-0.5625,-0.21875,0.20454545,-0.32352941,-0.65517241,-0.36666667,-0.58823529,-0.5,-0.4,-0.30952381,-0.30633708
1975-02,0.125,-0.3442623,-0.43902439,-0.47272727,-0.3125,-0.3030303,-0.19148936,-0.36842105,-0.5,-0.52941176,-0.41860465,-0.15151515,-0.32142857,-0.32158281
1975-03,-0.35087719,-0.09259259,-0.38297872,-0.31914894,0.08333333,-0.20930233,0.07894737,-0.08823529,-0.44736842,0.02777778,-0.39473684,-0.04,-0.36842105,-0.20128063
1975-04,-0.046875,-0.39215686,-0.18518519,-0.37037037,-0.47727273,-0.38235294,-0.12121212,-0.15384615,-0.05128205,-0.46153846,-0.3255814,-0.2,-0.08108108,-0.25790902
1975-05,-0.16,-0.24,-0.31914894,-0.11764706,-0.25581395,-0.09756098,0.14285714,-0.44444444,-0.38095238,-0.2972973,0.09302326,-0.22580645,-0.23333333,-0.17430667
1975-06,0.02,0.06818182,-0.30952381,0.0,-0.38297872,0.0,0.08571429,0.0,-0.07692308,0.13333333,-0.14634146,-0.26470588,0.11428571,-0.06324648
1975-07,0.22413793,0.02272727,-0.40425532,-0.18367347,-0.2826087,-0.02564103,0.24242424,-0.1627907,-0.4516129,0.07142857,0.0,-0.19354839,0.4137931,-0.04723572
1975-08,0.13207547,-0.22,-0.425,-0.09803922,-0.07692308,-0.09302326,0.28,-0.10526316,0.10344828,-0.04255319,0.15555556,-0.225,0.21212121,-0.02477819
1975-09,-0.06818182,-0.16666667,0.1627907,0.01851852,-0.0952381,-0.30769231,0.16129032,-0.17021277,-0.05555556,0.19607843,0.02272727,-0.57692308,0.2,-0.04240436
1975-10,-0.34,-0.2,-0.24489796,-0.05263158,0.28888889,-0.09090909,0.14285714,-0.44444444,-0.32258065,0.33333333,-0.09302326,-0.08571429,0.18181818,-0.04023827
1975-11,-0.23076923,-0.32727273,-0.33333333,0.07692308,0.04545455,0.18918919,0.31818182,-0.10810811,0.04,0.20833333,0.04878049,-0.11428571,0.34210526,0.02194223
1975-12,-0.04255319,-0.14035088,-0.22727273,0.0,-0.20754717,0.25714286,0.45945946,0.04255319,-0.03225806,0.0,0.02173913,0.0,0.26315789,0.02929311
1976-01,0.20754717,-0.15,0.02380952,0.15625,0.03488372,0.175,0.1627907,-0.18367347,0.55263158,0.06976744,0.30232558,-0.02777778,0.31034483,0.1514644
1976-02,0.01851852,-0.13043478,0.20754717,0.15217391,-0.025,0.24390244,0.02941176,-0.125,-0.4084507,0.2,0.06976744,-0.03030303,0.38888889,0.05966847
1976-03,0.14285714,-0.25,-0.0625,0.30769231,-0.10891089,0.31707317,0.15625,0.5625,0.17647059,0.29166667,0.0,0.02857143,0.28947368,0.10738701
1976-04,0.22727273,-0.1875,0.22222222,0.31818182,-0.06976744,-0.02631579,0.33333333,0.17647059,0.2,0.22,0.22857143,-0.13333333,0.34146341,0.1395107
1976-05,0.16666667,0.08823529,0.14393939,0.2826087,-0.25,0.26315789,0.125,0.19191919,0.0625,0.23913043,0.11363636,0.02272727,0.35897436,0.1347147
1976-06,-0.21153846,-0.23333333,-0.10416667,0.04918033,-0.10344828,-0.36538462,-0.02325581,-0.24074074,-0.65789474,-0.0952381,-0.16326531,-0.45454545,0.05128205,-0.19263403
1976-07,0.03225806,-0.2,-0.06122449,-0.27083333,-0.23076923,0.28947368,-0.06521739,-0.01980198,-0.3255814,0.35416667,-0.25581395,-0.02941176,0.0952381,-0.05564292
1976-08,-0.11904762,-0.21875,0.06,-0.2,0.22222222,-0.26829268,-0.28571429,0.06976744,-0.58974359,-0.08510638,-0.26086957,-0.03571429,-0.14285714,-0.16032278
1976-09,-0.03636364,-0.23333333,-0.07692308,-0.35,-0.15555556,-0.3125,0.0,-0.07894737,-0.07692308,0.08510638,-0.05263158,0.48717949,0.02777778,-0.05784722
1976-10,0.12698413,-0.20588235,0.11363636,-0.12195122,0.07692308,-0.29545455,-0.075,-0.15909091,0.10416667,-0.20833333,-0.10344828,-0.47222222,-0.06976744,-0.09419576
1976-11,-0.30508475,-0.08333333,-0.12244898,-0.0625,0.1,0.10869565,-0.36842105,-0.05263158,0.26190476,-0.02380952,0.02941176,-0.33333333,-0.10526316,-0.0753485
1976-12,-0.01818182,0.0,0.13333333,-0.02222222,0.23076923,-0.35,0.14285714,-0.26470588,-0.02941176,-0.08163265,-0.14285714,0.06896552,0.02564103,-0.00356161
1977-01,0.10638298,0.02857143,0.35483871,-0.13043478,0.4,0.17142857,-0.02272727,0.13157895,-0.12195122,0.05263158,-0.21621622,0.12121212,0.37777778,0.09345947
1977-02,-0.48979592,-0.23255814,-0.1372549,-0.30434783,0.15384615,-0.2,-0.34375,-0.17021277,-0.65,-0.25531915,-0.20689655,0.02380952,-0.41666667,-0.25491112
1977-03,-0.20408163,-0.0877193,-0.19230769,-0.04081633,0.18367347,-0.58974359,0.19354839,0.08571429,0.02631579,0.3,0.23333333,-0.27777778,0.32394366,-0.01096931
1977-04,0.19047619,-0.02380952,0.31818182,0.22727273,0.31818182,0.175,0.20512821,0.22641509,-0.15789474,0.33333333,0.3030303,0.10526316,0.48648649,0.20672081
1977-05,0.04615385,-0.17073171,0.20408163,0.0,0.42222222,0.0,-0.05405405,0.12765957,-0.10526316,0.38297872,0.08571429,-0.11363636,0.10526316,0.06689405
1977-06,-0.16981132,0.06521739,-0.125,0.0,0.19444444,0.33333333,0.58974359,0.2,0.19047619,0.22,0.05263158,0.11111111,0.05882353,0.12674749
1977-07,-0.11111111,0.03846154,0.07142857,-0.08108108,0.09090909,0.33333333,0.20833333,0.03846154,0.19047619,0.0,0.30555556,-0.11111111,0.14583333,0.09008564
1977-08,0.06521739,0.2,-0.1,-0.2244898,0.02439024,-0.025,-0.21153846,-0.05263158,-0.04081633,0.11320755,-0.24324324,-0.02777778,-0.17073171,-0.05339851
1977-09,-0.04347826,-0.22,0.03846154,-0.21153846,0.16666667,0.28205128,0.14705882,-0.16666667,-0.4047619,-0.08510638,-0.21052632,-0.14285714,0.10526316,-0.04823058
1977-10,-0.09756098,-0.16666667,0.07692308,-0.09615385,-0.02222222,0.28571429,0.18918919,-0.07017544,0.05555556,0.17647059,-0.21428571,0.08333333,0.0,0.02252472
1977-11,-0.06,-0.31818182,0.03773585,-0.13043478,0.3,0.17647059,-0.27272727,0.16216216,-0.5,0.275,0.10526316,0.0,0.10810811,-0.02323051
1977-12,-0.05555556,-0.27272727,0.26086957,-0.0212766,0.09615385,0.16666667,0.33333333,-0.025,-0.09756098,0.02272727,0.14583333,0.33333333,0.13513514,0.08724434
1978-01,0.11904762,0.09803922,0.08,-0.13043478,0.1627907,0.08108108,0.24324324,0.31578947,0.13888889,0.13636364,0.13157895,-0.21621622,0.15625,0.08338603
1978-02,-0.14285714,-0.19148936,-0.07142857,-0.26086957,0.07692308,0.19047619,-0.25,-0.11594203,-0.45945946,-0.2,-0.35,-0.37142857,-0.02439024,-0.1712103
1978-03,-0.12765957,-0.16,-0.09433962,-0.07843137,-0.07843137,-0.13953488,0.18181818,0.02564103,-0.10714286,-0.0952381,-0.19354839,0.05405405,0.30769231,-0.04423014
1978-04,-0.05263158,-0.08333333,0.0754717,0.19354839,0.34146341,-0.10526316,0.15625,0.28947368,0.38888889,-0.14285714,0.15789474,0.48148148,0.27777778,0.14072426
1978-05,0.21621622,-0.08571429,0.18181818,0.09756098,-0.06976744,-0.13513514,0.3030303,-0.12903226,-0.05405405,0.15789474,0.24324324,0.25714286,0.34210526,0.12119507
1978-06,-0.15,-0.05128205,0.015625,-0.08695652,-0.1,0.06818182,0.21052632,0.04761905,-0.16216216,0.13043478,-0.075,-0.07692308,0.275,-0.00021299
1978-07,-0.14285714,-0.28125,0.21568627,-0.16666667,0.12195122,-0.02325581,0.0,-0.14285714,0.02631579,-0.09302326,0.2173913,-0.28125,0.21212121,-0.01623642
1978-08,-0.29787234,0.11428571,0.05357143,-0.12765957,-0.05263158,-0.11627907,0.35135135,0.28,0.11764706,0.19047619,0.27272727,-0.10810811,0.43243243,0.06916173
1978-09,0.21428571,0.02083333,0.0,-0.225,-0.11904762,0.19148936,0.28205128,0.03448276,-0.34285714,-0.05,0.26315789,-0.03225806,0.25,0.03772123
1978-10,-0.23809524,-0.17948718,0.0,-0.39473684,0.025,0.26666667,0.03448276,-0.14,0.01234568,0.14285714,0.15151515,0.17073171,0.11764706,0.00907724
1978-11,-0.21568627,-0.18421053,-0.19642857,-0.3,0.0,0.19565217,-0.05405405,0.02380952,-0.5,-0.26190476,0.13157895,-0.22857143,0.06451613,-0.12909236
1978-12,-0.35714286,-0.25,-0.08333333,-0.04545455,0.02380952,0.19565217,-0.10810811,0.08108108,0.1,-0.27659574,0.05128205,-0.31707317,0.14545455,-0.07679246
1979-01,-0.06382979,0.02222222,-0.28070175,-0.36956522,-0.175,-0.12820513,-0.44736842,-0.25581395,-0.11111111,-0.1875,-0.25,-0.1025641,-0.4375,-0.21092694
1979-03,-0.10714286,0.08,-0.01818182,-0.39534884,0.05263158,0.12195122,-0.38888889,-0.02564103,-0.07894737,-0.08571429,-0.18918919,0.04761905,0.06060606,-0.07505044
1979-04,0.03508772,0.0,-0.04081633,-0.39534884,-0.02173913,0.02380952,0.03448276,0.23809524,-0.17647059,-0.21621622,0.11111111,-0.25925926,0.02857143,-0.07306565
1979-05,-0.33333333,0.13513514,-0.13888889,-0.33333333,-0.15789474,-0.08108108,-0.35294118,0.11627907,-0.22580645,0.06024096,0.0,0.09375,-0.33333333,-0.13895719
1979-07,-0.34090909,-0.3125,-0.18072289,-0.5,-0.11111111,-0.025,-0.07954545,-0.33333333,-0.34210526,-0.25423729,-0.28888889,-0.13157895,-0.27027027,-0.23640577
1979-08,-0.2972973,-0.29545455,-0.03921569,-0.25,0.0,0.14285714,-0.49333333,-0.2244898,-0.51428571,-0.27272727,-0.38636364,0.06666667,-0.31111111,-0.2208554
1979-09,-0.08333333,-0.15151515,-0.3030303,-0.27272727,-0.25,-0.11363636,-0.31034483,-0.19607843,0.17948718,-0.12903226,-0.18181818,0.03333333,-0.18421053,-0.14723564
1979-10,-0.25,-0.10638298,-0.34693878,-0.26829268,0.0952381,0.18181818,0.0,-0.12280702,-0.03125,-0.24489796,-0.43243243,-0.07894737,-0.03703704,-0.12659358
1979-11,-0.34,-0.3015873,-0.42622951,-0.33333333,-0.45945946,-0.38095238,-0.22222222,-0.15,-0.15789474,-0.08823529,-0.26190476,-0.17777778,-0.03030303,-0.26499165
1980-01,-0.12962963,0.05454545,-0.234375,-0.29166667,-0.14285714,-0.19444444,-0.14705882,-0.16666667,-0.11904762,-0.16216216,-0.35897436,-0.14634146,-0.37142857,-0.18695337
1980-03,-0.27659574,-0.06,-0.26470588,-0.27272727,-0.07692308,-0.22727273,-0.18181818,0.01886792,-0.3,0.0,-0.06521739,-0.11627907,-0.13333333,-0.16457272
1980-04,-0.53191489,-0.21428571,-0.61818182,-0.42222222,-0.41463415,-0.46511628,-0.60606061,-0.63265306,-0.61538462,-0.29032258,-0.43478261,-0.46511628,-0.48571429,-0.46364467
1980-05,-0.46,-0.14285714,-0.57627119,-0.55319149,-0.4,-0.40909091,-0.44444444,-0.55102041,-0.51162791,-0.28125,-0.71428571,-0.16666667,-0.35135135,-0.4175864
1980-07,-0.11111111,-0.28205128,-0.28070175,-0.30434783,-0.23404255,-0.22222222,-0.28571429,-0.42857143,-0.46808511,-0.48717949,-0.6,-0.33333333,-0.37837838,-0.33226395
1980-08,-0.33333333,-0.33333333,-0.27777778,-0.3255814,-0.02380952,-0.20930233,-0.02941176,-0.41935484,-0.24390244,-0.02272727,-0.25714286,-0.36111111,-0.29268293,-0.22584301
1980-09,-0.21818182,-0.07317073,-0.10169492,-0.17391304,-0.28571429,-0.15384615,0.09677419,-0.2,-0.5,0.10810811,-0.26190476,-0.41304348,0.03030303,-0.16219032
1980-10,-0.31707317,-0.35897436,-0.15151515,-0.14285714,-0.2,-0.13157895,-0.15625,-0.25,-0.28070175,0.16666667,0.0,-0.48979592,-0.30769231,-0.19748101
1980-11,0.04347826,-0.04651163,-0.19047619,-0.27083333,0.22222222,-0.21428571,-0.15,-0.23529412,-0.14,0.12195122,-0.02702703,-0.40425532,-0.08108108,-0.09473488
1980-12,-0.13636364,-0.17142857,-0.09090909,-0.16666667,-0.25,-0.17073171,-0.11538462,-0.2244898,-0.29310345,-0.175,-0.10416667,-0.43478261,-0.28205128,-0.19921569
